Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946686843,10.69,0.00,4.09,86.78,0
946686863,10.70,0.00,4.09,86.78,0
946686882,10.71,0.00,4.09,86.78,0
946686902,10.72,0.00,4.09,86.78,0
946686922,10.73,0.00,4.09,86.78,0
946686943,10.73,0.00,4.09,86.78,0
946686963,10.74,0.00,4.09,86.78,0
946686983,10.74,0.00,4.09,86.78,0
946687002,10.75,0.00,4.09,86.78,0
946687022,10.75,0.00,4.09,86.78,0
946687042,10.76,0.00,4.09,86.78,0
946687063,10.76,0.00,4.09,86.78,0
946687083,10.76,0.00,4.09,86.78,0
946687103,10.76,0.00,4.09,86.78,0
946687122,10.76,0.00,4.09,86.78,0
946687142,10.77,0.00,4.09,86.92,0
946687162,10.77,0.00,4.09,86.92,0
946687183,10.77,0.00,4.09,86.92,0
946687203,10.77,0.00,4.09,86.92,0
946687223,10.77,0.00,4.09,86.92,0
946687242,10.77,0.00,4.09,86.92,0
946687262,10.77,0.00,4.09,86.92,0
946687282,10.77,0.00,4.09,86.92,0
946687303,10.77,0.00,4.09,86.92,0
946687323,10.78,0.00,4.09,86.92,0
946687342,10.77,0.00,4.09,86.92,0
946687362,10.77,0.00,4.09,86.92,0
946687382,10.77,0.00,4.09,86.92,0
946687402,10.77,0.00,4.09,86.92,0
946687423,10.76,0.00,4.09,86.92,0
946687443,10.76,0.00,4.09,86.92,0
946687462,10.76,0.00,4.09,86.92,0
946687482,10.76,0.00,4.09,86.92,0
946687502,10.76,0.00,4.09,86.92,0
946687523,10.76,0.00,4.09,86.92,0
946687543,10.76,0.00,4.09,86.92,0
946687563,10.76,0.00,4.09,86.92,0
946687582,10.76,0.00,4.09,86.92,0
946687602,10.77,0.00,4.09,86.92,0
946687622,10.78,0.00,4.09,86.92,0
946687643,10.80,0.00,4.09,86.92,0
946687663,10.83,0.00,4.09,86.92,0
946687683,10.97,0.00,4.09,86.92,0
946687702,10.98,0.00,4.09,86.92,0
946687722,11.01,0.00,4.09,86.92,0
946687742,11.14,0.00,4.09,86.92,0
946687763,11.15,0.00,4.09,86.92,0
946687783,11.18,0.00,4.09,86.92,0
946687803,11.35,0.00,4.09,86.92,0
946687822,11.36,0.00,4.09,86.92,0
946687842,11.39,0.00,4.09,86.92,0
946687862,11.55,0.00,4.09,86.92,0
946687883,11.56,0.00,4.09,86.92,0
946687903,11.70,0.00,4.09,86.92,0
946687922,11.72,0.00,4.09,86.92,0
946687942,11.85,0.00,4.09,86.92,0
946687962,11.86,0.00,4.09,87.06,0
946687983,12.00,0.00,4.09,87.06,0
946688003,12.02,0.00,4.09,87.06,0
946688023,12.15,0.00,4.09,87.06,0
946688042,12.16,0.00,4.09,87.06,0
946688062,12.34,0.00,4.09,87.06,0
946688082,12.35,0.00,4.09,87.06,0
946688103,12.37,0.00,4.09,87.06,0
946688123,12.51,0.00,4.09,87.06,0
946688143,12.53,0.00,4.09,87.06,0
946688162,12.56,0.00,4.09,87.06,0
946688182,12.74,0.00,4.09,87.06,0
946688202,12.76,0.00,4.09,87.06,0
946688223,12.90,0.00,4.09,87.06,0
946688243,12.91,0.00,4.09,87.06,0
946688263,12.93,0.00,4.09,87.06,0
946688282,13.08,0.00,4.09,87.06,0
946688302,13.09,0.00,4.09,87.06,0
946688322,13.22,0.00,4.09,87.06,0
946688343,13.22,0.00,4.09,87.06,0
946688363,13.24,0.00,4.09,87.06,0
946688382,13.27,0.00,4.09,87.06,0
946688402,13.42,0.00,4.09,87.06,0
946688422,13.43,0.00,4.09,87.06,0
946688442,13.45,0.00,4.09,87.06,0
946688463,13.48,0.00,4.09,87.06,0
946688483,13.62,0.00,4.09,87.06,0
946688502,13.63,0.00,4.09,87.06,0
946688522,13.65,0.00,4.09,87.06,0
946688542,13.67,0.00,4.09,87.06,0
946688563,13.81,0.00,4.09,87.06,0
946688583,13.81,0.00,4.09,87.06,0
946688603,13.83,0.00,4.09,87.06,0
946688622,13.95,0.00,4.09,87.06,0
946688642,13.95,0.00,4.09,87.06,0
946688662,13.96,0.00,4.09,87.06,0
946688683,13.98,0.00,4.09,87.06,0
946688703,13.99,0.00,4.09,87.06,0
946688723,14.02,0.00,4.09,87.06,0
946688742,14.18,0.00,4.09,87.06,0
946688762,14.18,0.00,4.09,87.06,0
946688782,14.19,0.00,4.09,87.06,0
946688803,14.20,0.00,4.09,87.06,0
946688823,14.22,0.00,4.09,87.06,0
946688843,14.24,0.00,4.09,87.06,0
946688862,14.26,0.00,4.09,87.06,0
946688882,14.29,0.00,4.09,87.06,0
946688902,14.42,0.00,4.09,87.06,0
946688923,14.43,0.00,4.09,87.06,0
946688943,14.43,0.00,4.09,87.06,0
946688962,14.44,0.00,4.09,87.06,0
946688982,14.45,0.00,4.09,87.06,0
946689002,14.47,0.00,4.09,87.06,0
946689022,14.49,0.00,4.09,87.06,0
946689043,14.52,0.00,4.09,87.06,0
946689063,14.54,0.00,4.09,87.06,0
946689082,14.56,0.00,4.09,87.06,0
946689102,14.58,0.00,4.09,87.06,0
946689122,14.60,0.00,4.09,87.21,0
946689143,14.63,0.00,4.09,87.21,0
946689163,14.65,0.00,4.09,87.21,0
946689183,14.67,0.00,4.09,87.21,0
946689202,14.70,0.00,4.09,87.21,0
946689222,14.71,0.00,4.09,87.21,0
946689242,14.73,0.00,4.09,87.21,0
946689262,14.75,0.00,4.09,87.21,0
946689283,14.77,0.00,4.09,87.21,0
946689303,14.79,0.00,4.09,87.21,0
946689322,14.81,0.00,4.09,87.21,0
946689342,14.83,0.00,4.09,87.21,0
946689362,14.85,0.00,4.09,87.21,0
946689382,14.87,0.00,4.09,87.21,0
946689403,14.88,0.00,4.09,87.21,0
946689423,14.90,0.00,4.09,87.21,0
946689442,14.92,0.00,4.09,87.21,0
946689462,14.94,0.00,4.09,87.21,0
946689482,14.96,0.00,4.09,87.21,0
946689503,15.09,0.00,4.09,87.21,0
946689523,15.10,0.00,4.09,87.21,0
946689543,15.24,0.00,4.09,87.21,0
946689562,15.25,0.00,4.09,87.21,0
946689582,15.27,0.00,4.09,87.21,0
946689602,15.43,0.00,4.09,87.21,0
946689622,15.45,0.00,4.09,87.21,0
946689643,15.62,0.00,4.09,87.21,0
946689663,15.64,0.00,4.09,87.21,0
946689683,15.77,0.00,4.09,87.21,0
946689702,15.80,0.00,4.09,87.21,0
946689722,15.99,0.00,4.09,87.21,0
946689742,16.13,0.00,4.09,87.21,0
946689763,16.15,0.00,4.09,87.21,0
946689783,16.34,0.00,4.09,87.21,0
946689802,16.36,0.00,4.09,87.21,0
946689822,16.53,0.00,4.09,87.21,0
946689842,16.55,0.00,4.09,87.21,0
946689862,16.73,0.00,4.09,87.21,0
946689883,16.76,0.00,4.09,87.21,0
946689903,16.99,0.00,4.09,87.21,0
946689922,17.00,0.00,4.09,87.21,0
946689942,17.18,0.00,4.09,87.21,0
946689962,17.20,0.00,4.09,87.21,0
946689982,17.44,0.00,4.09,87.21,0
946690003,17.45,0.00,4.09,87.21,0
946690023,17.60,0.00,4.09,87.21,0
946690043,17.63,0.00,4.09,87.21,0
946690062,17.81,0.00,4.09,87.21,0
