Time (America/New_York),MSNB_S Wind speed (knots),MSNB_S Wind speed (knots) quality,MSNB_S Rain (day) (in),MSNB_S Rain (day) (in) quality,MSNB_S Rain (last 6 min) (in),MSNB_S Rain (last 6 min) (in) quality
2025-05-07 13:48,11.03,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 13:54,10.40,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 14:00,10.20,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 14:06,10.30,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 14:12,9.55,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 14:18,9.18,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 14:24,8.74,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 14:30,8.25,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 14:36,8.22,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 14:42,8.52,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 14:48,8.69,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 14:54,8.23,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 15:00,8.43,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 15:06,8.88,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 15:12,8.31,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 15:18,7.98,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 15:24,7.91,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 15:30,8.47,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 15:36,7.94,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 15:42,8.07,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 15:48,7.62,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 15:54,7.43,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 16:00,7.53,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 16:06,6.99,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 16:12,7.59,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 16:18,6.96,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 16:24,7.64,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 16:30,7.23,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 16:36,7.70,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 16:42,7.58,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 16:48,7.98,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 16:54,7.93,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 17:00,8.50,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 17:06,7.20,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 17:12,6.89,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 17:18,7.07,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 17:24,6.48,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 17:30,5.98,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 17:36,5.50,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 17:42,4.90,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 17:48,5.93,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 17:54,6.17,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 18:00,5.80,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 18:06,6.15,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 18:12,6.17,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 18:18,5.54,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 18:24,6.14,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 18:30,6.42,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 18:36,6.49,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 18:42,6.03,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 18:48,7.19,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 18:54,6.68,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 19:00,5.99,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 19:06,5.46,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 19:12,6.71,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 19:18,6.22,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 19:24,6.50,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 19:30,6.58,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 19:36,6.83,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 19:42,7.28,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 19:48,7.65,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 19:54,7.25,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 20:00,6.99,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 20:06,7.60,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 20:12,8.13,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 20:18,7.69,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 20:24,7.43,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 20:30,7.59,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 20:36,7.30,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 20:42,6.86,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 20:48,6.53,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 20:54,7.74,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 21:00,7.38,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 21:06,7.39,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 21:12,7.30,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 21:18,7.09,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 21:24,6.35,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 21:30,6.47,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 21:36,6.74,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 21:42,6.83,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 21:48,6.02,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 21:54,4.89,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 22:00,4.20,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 22:06,4.01,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 22:12,5.28,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 22:18,5.74,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 22:24,5.22,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 22:30,4.11,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 22:36,2.85,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 22:42,2.69,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 22:48,3.89,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 22:54,4.15,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 23:00,3.73,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 23:06,2.92,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 23:12,2.98,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 23:18,3.63,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 23:24,3.89,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 23:30,4.73,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 23:36,5.03,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 23:42,4.86,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 23:48,5.28,good,0.01,not evaluated,0.00,not evaluated
2025-05-07 23:54,5.48,good,0.01,not evaluated,0.00,not evaluated
2025-05-08 00:00,5.20,good,0.01,not evaluated,0.00,not evaluated
2025-05-08 00:06,4.89,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 00:12,4.72,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 00:18,5.04,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 00:24,4.52,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 00:30,3.46,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 00:36,2.47,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 00:42,2.62,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 00:48,3.24,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 00:54,4.16,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 01:00,4.16,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 01:06,5.09,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 01:12,6.00,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 01:18,5.83,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 01:24,5.58,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 01:30,5.41,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 01:36,5.58,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 01:42,5.74,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 01:48,5.80,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 01:54,5.29,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 02:00,6.50,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 02:06,6.11,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 02:12,5.67,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 02:18,5.87,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 02:24,6.12,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 02:30,5.89,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 02:36,5.98,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 02:42,6.02,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 02:48,5.85,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 02:54,5.41,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 03:00,5.70,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 03:06,6.05,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 03:12,6.06,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 03:18,5.99,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 03:24,6.03,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 03:30,6.22,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 03:36,6.26,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 03:42,5.52,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 03:48,6.05,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 03:54,5.10,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 04:00,4.81,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 04:06,4.82,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 04:12,4.84,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 04:18,4.56,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 04:24,3.64,good,0.00,not evaluated,0.00,not evaluated
2025-05-08 04:30,3.52,good,0.00,not evaluated,0.00,not evaluated
