Real_Time,Temp_C,Cond_uScm-1
1752537243,29.89,0.00
1752537602,29.91,0.00
1752537962,29.89,0.00
1752538322,29.86,0.00
1752538682,29.85,0.00
1752539042,29.65,0.00
1752539402,29.64,0.00
1752539763,29.63,0.00
1752540123,29.63,0.00
1752540483,29.62,0.00
1752540842,29.61,0.00
1752541202,29.60,0.00
1752541562,29.57,0.00
1752541922,29.56,0.00
1752542283,29.42,0.00
1752542643,29.41,0.00
1752543003,29.40,0.00
1752543362,29.19,0.00
1752543722,29.21,0.00
1752544082,29.23,0.00
1752544442,29.25,0.00
1752544803,29.24,0.00
1752545163,29.24,0.00
1752545523,29.24,0.00
1752545882,29.21,0.00
1752546242,29.06,0.00
1752546602,29.07,0.00
1752546963,29.06,0.00
1752547323,29.07,0.00
1752547683,28.91,0.00
1752548042,28.76,0.00
1752548402,28.92,0.00
1752548763,28.74,0.00
1752549123,28.75,0.00
1752549483,28.75,0.00
1752549842,28.90,0.00
1752550202,28.68,0.00
1752550562,28.67,0.00
1752550922,28.54,0.00
1752551282,28.67,0.00
1752551642,28.67,0.00
1752552002,28.67,0.00
1752552363,28.67,0.00
1752552723,28.68,0.00
1752553083,28.68,0.00
1752553442,28.86,0.00
1752553802,28.83,0.00
1752554162,28.84,0.00
1752554522,28.84,0.00
1752554883,28.84,0.00
1752555243,28.81,0.00
1752555603,28.81,0.00
1752555962,28.60,0.00
1752556322,28.59,0.00
